location,population,higest_infection_count,percent_population_infected
Seychelles,98340,19186,19.509863738051656
Andorra,77265,14976,19.382644146767618
Montenegro,628062,107576,17.12824530062319
Bahrain,1701583,271257,15.941449814672573
Czechia,10708982,1676817,15.65804294002922
"San Marino",33938,5231,15.413400907537275
Maldives,540542,79525,14.712085277369752
Slovenia,2078932,262189,12.61171601572346
Georgia,3989175,496376,12.443074069199772
Cyprus,888005,110098,12.398353612873802
Luxembourg,625976,74855,11.958126190141476
Netherlands,17134873,1942545,11.336792516641355
Argentina,45195777,5106207,11.297973702277538
"United States",331002647,37155669,11.225187875914479
Israel,8655541,962193,11.116497512980414
Uruguay,3473727,383645,11.044189713238834
Sweden,10099270,1114278,11.033252898476821
Serbia,6804596,736313,10.820818752501985
Lithuania,2722291,291412,10.704660155729126
Panama,4314768,449762,10.423781765323188
Estonia,1326539,137800,10.387934316292247
Spain,46754783,4745558,10.149887766562834
Belgium,11589616,1159366,10.003489330448913
Portugal,10196707,1009571,9.900951356158414
France,67564251,6611444,9.785417439172086
Brazil,212559409,20457897,9.624554893262806
Colombia,50882884,4877323,9.585390246354747
Kuwait,4270563,407376,9.539163805802655
"United Kingdom",67886004,6385982,9.406919871141628
Croatia,4105268,367933,8.962459941713915
Switzerland,8654618,747396,8.635805762888667
Lebanon,6825442,586585,8.594095444661312
"Costa Rica",5094114,436276,8.564315600318329
Chile,19116209,1630831,8.531142341036341
"South America",430759772,36400266,8.45024729932302
Hungary,9660350,810658,8.391600718400472
Liechtenstein,38137,3185,8.351469701339905
Malta,441539,35516,8.043683570420733
"European Union",444919060,35601630,8.001821724607618
Qatar,2881060,229915,7.9802225569755585
Armenia,2963234,235675,7.953303721542072
"North Macedonia",2083380,164529,7.897215102381707
Monaco,39244,3099,7.896748547548669
Jordan,10203140,786585,7.709244409074069
Poland,37846605,2885883,7.625209711676913
"North America",592072204,44572967,7.528299200480622
Austria,9006400,671593,7.456841801385681
Latvia,1886202,140505,7.449096120139837
Italy,60461828,4456765,7.371204522628724
Turkey,84339067,6138422,7.278266429008516
Europe,748680069,54051401,7.219559226706221
Slovakia,5459643,393722,7.211497161993925
"United Arab Emirates",9890400,705089,7.129024104181833
Ireland,4937796,329388,6.670749459880482
Moldova,4033963,263074,6.52147776268647
Peru,32971846,2137295,6.4821817983742855
Paraguay,7132530,457222,6.410376121796895
"Bosnia and Herzegovina",3280815,208267,6.348026328823783
Palestine,5101416,322620,6.32412647782498
Bulgaria,6948445,437327,6.293883019869913
Kosovo,1932774,120862,6.253291900656777
"Cape Verde",555988,34529,6.210385835665519
Botswana,2351625,142380,6.054536756498166
Oman,5106622,300728,5.888981013280404
Denmark,5792203,335081,5.7850355037625585
Mongolia,3278292,186537,5.690066656661457
Romania,19237682,1088594,5.658654717340686
Iran,83992953,4556417,5.424761051084845
Ukraine,43733759,2359893,5.396044277831229
Tunisia,11818618,632328,5.350270226180422
Greece,10423056,547186,5.249765519824512
Belarus,9449321,463855,4.908871230006897
Namibia,2540916,122885,4.836248030237914
Cuba,11326616,545275,4.814103347372242
Albania,2877800,137075,4.763187156855932
Fiji,896444,41830,4.666214509774175
Germany,83783945,3846226,4.590648005414402
Suriname,586634,26916,4.588210025330955
Malaysia,32365998,1466512,4.53102666570022
Russia,145934460,6572246,4.503560022766385
Iraq,40222503,1801364,4.478498018882614
"South Africa",59308690,2638981,4.449568857447366
Bahamas,393248,16668,4.238546667751648
Libya,6871287,289219,4.209095035617054
Kazakhstan,18776707,782518,4.167493267056891
Bolivia,11673029,484446,4.150131041394654
Canada,37742157,1467834,3.8891099944287766
Belize,397621,15182,3.8182087968190817
Azerbaijan,10139175,377304,3.721249509945336
"Saint Lucia",183629,6578,3.5822228515103824
Vatican,809,27,3.3374536464771323
Eswatini,1160164,38030,3.2779848366265454
Honduras,9904608,323625,3.2674185591191494
"Dominican Republic",10847904,346693,3.1959445806305067
"Trinidad and Tobago",1399491,42427,3.031602203944148
Guyana,786559,23795,3.025202178094714
Iceland,341250,9812,2.8753113553113554
Ecuador,17643060,493767,2.7986471734495035
Norway,5421242,146373,2.6999901498586487
World,7794798729,209262848,2.6846472279194624
Kyrgyzstan,6524191,172937,2.6507041256149613
Nepal,29136808,739907,2.5394236733138373
Mexico,128932753,3152205,2.444844251483562
Guatemala,17915567,422270,2.3570004789689323
India,1380004385,32285857,2.339547421075767
Finland,5540718,119320,2.153511512406876
Morocco,36910558,782097,2.1188977961265176
"Saint Vincent and the Grenadines",110947,2320,2.0910885377702866
Jamaica,2961161,59377,2.0051932333297646
"Sri Lanka",21413250,369359,1.7249086430130876
Philippines,109581085,1776495,1.6211693833840028
Barbados,287371,4594,1.5986303419621324
"Saudi Arabia",34813867,539129,1.5486041812017033
"Antigua and Barbuda",97928,1421,1.4510660893717835
Asia,4639847425,66759346,1.4388263208892047
Indonesia,273523621,3908247,1.4288517334303643
"El Salvador",6486201,92135,1.4204771020817888
Thailand,69799978,968957,1.3881909819513123
"Saint Kitts and Nevis",53192,708,1.3310272221386674
Dominica,71991,953,1.3237765831840091
Djibouti,988002,11689,1.1830947710632165
Gabon,2225728,25626,1.1513536245219542
"Sao Tome and Principe",219161,2496,1.1388887621428996
Singapore,5850343,66334,1.1338480495929897
Venezuela,28435943,320922,1.1285787146218431
Zambia,18383956,203169,1.10514298445884
Timor,1318442,13155,0.9977685783674974
Japan,126476458,1207512,0.9547326190934284
Bangladesh,164689383,1440644,0.8747643434914076
Zimbabwe,14862927,121498,0.8174567499389589
Lesotho,2142252,14352,0.6699491936522874
Myanmar,54409794,363169,0.6674699044072837
