location,total_death_count,percent_population_died
Peru,197659,0.5994781123264982
Hungary,30045,0.3110135761126667
"Bosnia and Herzegovina",9718,0.29620688761786323
Czechia,30378,0.28366841964997236
Brazil,571662,0.2689422231127863
"North Macedonia",5589,0.26826599084180514
"San Marino",90,0.26518946313866465
Bulgaria,18411,0.26496575852582843
Montenegro,1657,0.26382745652499273
Colombia,123781,0.24326647837021187
Argentina,109652,0.24261558773511072
Slovakia,12547,0.22981356106983553
Belgium,25305,0.21834200546420177
Paraguay,15492,0.21720203069598024
Slovenia,4436,0.21337879257234002
Italy,128579,0.21266144979936763
Croatia,8291,0.20196001820100418
Poland,75307,0.19897953858741096
Mexico,250469,0.19426328389963102
"United Kingdom",131577,0.19382051122054555
Chile,36456,0.19070726837104576
Tunisia,22304,0.18871918865640636
"United States",624257,0.18859577277036096
Ecuador,31870,0.1806375991466333
Romania,34365,0.17863378758417983
Spain,82883,0.17727170287583197
Uruguay,6012,0.17307059535766628
Portugal,17601,0.17261455095257716
France,113239,0.16760194677507784
Andorra,129,0.16695787225781403
Lithuania,4461,0.1638693291789893
Georgia,6532,0.16374312984514341
Panama,6981,0.16179317173020658
Armenia,4716,0.15915044171334428
Moldova,6328,0.15686807241414955
Bolivia,18236,0.15622337612628223
Liechtenstein,59,0.15470540420064505
Sweden,14662,0.14517880995359073
Latvia,2566,0.13604057253676965
Luxembourg,829,0.13243319232686238
"South Africa",78377,0.1321509546071579
Namibia,3300,0.12987442323949316
Ukraine,56297,0.12872664341521614
Greece,13245,0.12707405582393494
Switzerland,10935,0.12634873081631104
Austria,10757,0.11943728903890567
Kosovo,2295,0.118741249623598
Iran,99691,0.11868971912441274
Suriname,692,0.11796111374383347
Lebanon,7993,0.1171059691079347
Russia,169948,0.11645501686167886
Germany,91949,0.10974536947382937
Netherlands,18242,0.10646125010672679
Serbia,7183,0.10556100611998126
"Costa Rica",5284,0.10372755694120706
Ireland,5074,0.10275839666118243
Seychelles,101,0.10270490136261949
Jordan,10252,0.10047887219032572
Malta,433,0.09806608249780879
Estonia,1281,0.09656708170660644
Belize,347,0.08726903257121732
Botswana,2043,0.08687609631637698
Honduras,8527,0.0860912415715998
Albania,2471,0.08586420182083536
"Trinidad and Tobago",1200,0.08574546031378551
Monaco,33,0.08408928753440016
Eswatini,961,0.08283311669729453
Bahrain,1385,0.08139479531706652
Bahamas,313,0.07959353893726097
Oman,4013,0.078584238269447
Israel,6723,0.07767278787079859
Guyana,587,0.07462885810218942
Palestine,3627,0.07109790693407476
Canada,26729,0.07082001169143565
Turkey,53675,0.06364191816350066
Guatemala,11273,0.06292293177212867
Kazakhstan,11725,0.06244438921052557
Libya,3968,0.057747551514003126
Kuwait,2397,0.056128430841554146
"Cape Verde",300,0.05395799909350561
Cyprus,467,0.05258979397638527
"Saint Lucia",95,0.051734747779490164
Azerbaijan,5208,0.051365125860831876
Iraq,19886,0.049439986367829966
Fiji,413,0.04607092021364413
Jamaica,1339,0.045218750348258674
Indonesia,121141,0.044289045149778855
Denmark,2564,0.04426640433700269
"Antigua and Barbuda",43,0.0439098112899273
"El Salvador",2812,0.04335357476587605
Malaysia,13302,0.04109868634361283
Maldives,222,0.0410698891112994
Belarus,3637,0.03848953803135696
Kyrgyzstan,2462,0.03773647951140609
Cuba,4240,0.03743395202944993
"Dominican Republic",3989,0.036772080578884175
Nepal,10396,0.035679955058906934
India,432519,0.03134185693185315
"Sri Lanka",6604,0.03084071777987928
Morocco,11345,0.030736462992512873
Zimbabwe,4181,0.028130394504393377
Philippines,30623,0.027945516327019394
Mongolia,889,0.027117779624267757
Myanmar,13786,0.025337350110165826
"Saudi Arabia",8419,0.024182892408935786
Qatar,601,0.020860377777623514
"United Arab Emirates",2009,0.02031262638518159
Zambia,3556,0.019342953170688616
"Sao Tome and Principe",41,0.018707708031994744
Lesotho,399,0.01862525977336
Finland,1008,0.018192588036424158
Afghanistan,7043,0.01809221718439016
Comoros,147,0.016904421023579943
Barbados,48,0.01670314680326129
Egypt,16638,0.01625846197588117
Djibouti,156,0.015789441721777892
Bangladesh,24719,0.015009467853796015
Norway,811,0.014959671602927889
Mauritania,653,0.014044037628557786
Venezuela,3830,0.013468869310928075
Japan,15527,0.012276593008320964
Thailand,8285,0.011869631248307843
Gambia,277,0.011462081613331435
Algeria,4898,0.011169631700664453
Pakistan,24639,0.011154303043685115
Syria,1947,0.011125296610292974
"Saint Vincent and the Grenadines",12,0.010815975195363552
Malawi,2012,0.010517536502307506
Cambodia,1730,0.010347526770636781
Senegal,1636,0.009770704965918994
Iceland,30,0.008791208791208791
"Equatorial Guinea",123,0.008767021742926689
Kenya,4378,0.008141889818546324
Rwanda,980,0.007566276918477767
Gabon,165,0.007413304770394227
Vietnam,6770,0.006955104328979188
Sudan,2818,0.006426560953615897
Uganda,2917,0.006377210817428565
Somalia,897,0.005643916440086807
"Saint Kitts and Nevis",3,0.005639945856519777
Mozambique,1761,0.005634220096440827
Haiti,576,0.00505150916905919
Cameroon,1338,0.005040333213490433
Guinea-Bissau,94,0.00477642761832075
Yemen,1411,0.004730776885430843
"South Korea",2191,0.004273522361376424
Ethiopia,4505,0.0039186322159078845
Australia,972,0.0038117824942006592
Taiwan,821,0.0034471501704156
Madagascar,954,0.00344516032436365
Angola,1125,0.00342296241240411
Congo,179,0.0032438748755910557
Ghana,945,0.0030412308842950033
Timor,40,0.003033883932702387
Nicaragua,197,0.0029737851031178854
Uzbekistan,994,0.002969894797900601
Liberia,148,0.002926244598063498
"Hong Kong",212,0.0028278023120751963
Mali,535,0.0026418665028808195
Guinea,299,0.0022767435896342532
"Papua New Guinea",192,0.0021459642404119267
Togo,172,0.0020776115970346683
"Central African Republic",99,0.002049789596344666
Mauritius,22,0.0017298766204815821
"Sierra Leone",121,0.001516863827624096
"Cote d'Ivoire",373,0.0014140424269593066
Tajikistan,124,0.001300111704758891
"Democratic Republic of Congo",1050,0.0011723800131583466
Nigeria,2229,0.0010813061345659918
"South Sudan",120,0.0010720288118463471
Chad,174,0.0010593053306983823
Eritrea,37,0.001043303584142575
Benin,119,0.0009815891813364757
Grenada,1,0.0008887387907820013
"Burkina Faso",171,0.0008180535129466297
Niger,196,0.0008096953248687674
Singapore,46,0.0007862786848565973
Brunei,3,0.0006857409316476298
"New Zealand",26,0.0005391693018566295
Bhutan,3,0.00038879644173496524
Vanuatu,1,0.00032557382386456127
China,4639,0.0003223041322459251
Burundi,38,0.00031957530796337095
Laos,9,0.0001237018861513814
Tanzania,50,0.00008370412446883664
Anguilla,NULL,NULL
Aruba,NULL,NULL
Bermuda,NULL,NULL
"Bonaire Sint Eustatius and Saba",NULL,NULL
"British Virgin Islands",NULL,NULL
"Cayman Islands",NULL,NULL
"Cook Islands",NULL,NULL
Curacao,NULL,NULL
Dominica,NULL,NULL
"Faeroe Islands",NULL,NULL
"Falkland Islands",NULL,NULL
"French Polynesia",NULL,NULL
Gibraltar,NULL,NULL
Greenland,NULL,NULL
Guernsey,NULL,NULL
"Isle of Man",NULL,NULL
Jersey,NULL,NULL
Kiribati,NULL,NULL
Macao,NULL,NULL
"Marshall Islands",NULL,NULL
"Micronesia (country)",NULL,NULL
Montserrat,NULL,NULL
Nauru,NULL,NULL
"New Caledonia",NULL,NULL
Niue,NULL,NULL
"Northern Cyprus",NULL,NULL
Pitcairn,NULL,NULL
"Saint Helena",NULL,NULL
Samoa,NULL,NULL
"Sint Maarten (Dutch part)",NULL,NULL
"Solomon Islands",NULL,NULL
Tokelau,NULL,NULL
Tonga,NULL,NULL
Turkmenistan,NULL,NULL
"Turks and Caicos Islands",NULL,NULL
Tuvalu,NULL,NULL
Vatican,NULL,NULL
"Wallis and Futuna",NULL,NULL
