location,population,total_infection_count,percent_population_infected
Seychelles,98340,19186,19.50986374
Andorra,77265,14976,19.38264415
Montenegro,628062,107576,17.1282453
Bahrain,1701583,271257,15.94144981
Czechia,10708982,1676817,15.65804294
San Marino,33938,5231,15.41340091
Maldives,540542,79525,14.71208528
Slovenia,2078932,262189,12.61171602
Georgia,3989175,496376,12.44307407
Cyprus,888005,110098,12.39835361
Luxembourg,625976,74855,11.95812619
Netherlands,17134873,1942545,11.33679252
Argentina,45195777,5106207,11.2979737
United States,331002647,37155669,11.22518788
Israel,8655541,962193,11.11649751
Uruguay,3473727,383645,11.04418971
Sweden,10099270,1114278,11.0332529
Serbia,6804596,736313,10.82081875
Lithuania,2722291,291412,10.70466016
Panama,4314768,449762,10.42378177
Estonia,1326539,137800,10.38793432
Spain,46754783,4745558,10.14988777
Belgium,11589616,1159366,10.00348933
Portugal,10196707,1009571,9.900951356
France,67564251,6611444,9.785417439
Brazil,212559409,20457897,9.624554893
Colombia,50882884,4877323,9.585390246
Kuwait,4270563,407376,9.539163806
United Kingdom,67886004,6385982,9.406919871
Croatia,4105268,367933,8.962459942
Switzerland,8654618,747396,8.635805763
Lebanon,6825442,586585,8.594095445
Costa Rica,5094114,436276,8.5643156
Chile,19116209,1630831,8.531142341
South America,430759772,36400266,8.450247299
Hungary,9660350,810658,8.391600718
Liechtenstein,38137,3185,8.351469701
Malta,441539,35516,8.04368357
European Union,444919060,35601630,8.001821725
Qatar,2881060,229915,7.980222557
Armenia,2963234,235675,7.953303722
North Macedonia,2083380,164529,7.897215102
Monaco,39244,3099,7.896748548
Jordan,10203140,786585,7.709244409
Poland,37846605,2885883,7.625209712
North America,592072204,44572967,7.5282992
Austria,9006400,671593,7.456841801
Latvia,1886202,140505,7.44909612
Italy,60461828,4456765,7.371204523
Turkey,84339067,6138422,7.278266429
Europe,748680069,54051401,7.219559227
Slovakia,5459643,393722,7.211497162
United Arab Emirates,9890400,705089,7.129024104
Ireland,4937796,329388,6.67074946
Moldova,4033963,263074,6.521477763
Peru,32971846,2137295,6.482181798
Paraguay,7132530,457222,6.410376122
Bosnia and Herzegovina,3280815,208267,6.348026329
Palestine,5101416,322620,6.324126478
Bulgaria,6948445,437327,6.29388302
Kosovo,1932774,120862,6.253291901
Cape Verde,555988,34529,6.210385836
Botswana,2351625,142380,6.054536756
Oman,5106622,300728,5.888981013
Denmark,5792203,335081,5.785035504
Mongolia,3278292,186537,5.690066657
Romania,19237682,1088594,5.658654717
Iran,83992953,4556417,5.424761051
Ukraine,43733759,2359893,5.396044278
Tunisia,11818618,632328,5.350270226
Greece,10423056,547186,5.24976552
Belarus,9449321,463855,4.90887123
Namibia,2540916,122885,4.83624803
Cuba,11326616,545275,4.814103347
Albania,2877800,137075,4.763187157
Fiji,896444,41830,4.66621451
Germany,83783945,3846226,4.590648005
Suriname,586634,26916,4.588210025
Malaysia,32365998,1466512,4.531026666
Russia,145934460,6572246,4.503560023
Iraq,40222503,1801364,4.478498019
South Africa,59308690,2638981,4.449568857
Bahamas,393248,16668,4.238546668
Libya,6871287,289219,4.209095036
Kazakhstan,18776707,782518,4.167493267
Bolivia,11673029,484446,4.150131041
Canada,37742157,1467834,3.889109994
Belize,397621,15182,3.818208797
Azerbaijan,10139175,377304,3.72124951
Saint Lucia,183629,6578,3.582222852
Vatican,809,27,3.337453646
Eswatini,1160164,38030,3.277984837
Honduras,9904608,323625,3.267418559
Dominican Republic,10847904,346693,3.195944581
Trinidad and Tobago,1399491,42427,3.031602204
Guyana,786559,23795,3.025202178
Iceland,341250,9812,2.875311355
Ecuador,17643060,493767,2.798647173
Norway,5421242,146373,2.69999015
World,7794798729,209262848,2.684647228
Kyrgyzstan,6524191,172937,2.650704126
Nepal,29136808,739907,2.539423673
Mexico,128932753,3152205,2.444844251
Guatemala,17915567,422270,2.357000479
India,1380004385,32285857,2.339547421
Finland,5540718,119320,2.153511512
Morocco,36910558,782097,2.118897796
Saint Vincent and the Grenadines,110947,2320,2.091088538
Jamaica,2961161,59377,2.005193233
Sri Lanka,21413250,369359,1.724908643
Philippines,109581085,1776495,1.621169383
Barbados,287371,4594,1.598630342
Saudi Arabia,34813867,539129,1.548604181
Antigua and Barbuda,97928,1421,1.451066089
Asia,4639847425,66759346,1.438826321
Indonesia,273523621,3908247,1.428851733
El Salvador,6486201,92135,1.420477102
Thailand,69799978,968957,1.388190982
Saint Kitts and Nevis,53192,708,1.331027222
Dominica,71991,953,1.323776583
Djibouti,988002,11689,1.183094771
Gabon,2225728,25626,1.151353625
Sao Tome and Principe,219161,2496,1.138888762
Singapore,5850343,66334,1.13384805
Venezuela,28435943,320922,1.128578715
Zambia,18383956,203169,1.105142984
Timor,1318442,13155,0.997768578
Japan,126476458,1207512,0.954732619
Bangladesh,164689383,1440644,0.874764343
Zimbabwe,14862927,121498,0.81745675
Lesotho,2142252,14352,0.669949194
Myanmar,54409794,363169,0.667469904
Mauritania,4649660,30897,0.6645002
Equatorial Guinea,1402985,9010,0.642202162
Rwanda,12952209,81339,0.627993264
Africa,1340598113,7373418,0.550009576
Cambodia,16718971,87190,0.521503387
Mauritius,1271767,6460,0.50795468
Pakistan,220892331,1109274,0.502178593
Comoros,869595,4039,0.464469092
Mozambique,31255435,140765,0.450369672
South Korea,51269183,230808,0.450188566
